"tabela","categoria","idade_cat","sexo","region_cadunico","med_altura","med_peso","med_imc","n_dist"
"regiao","sudeste","9a","Masculino","Urbana",0.19,0.43,0.42,23205
"regiao","sul","9a","Masculino","Rural",0.03,0.41,0.52,4805
"regiao","sul","9a","Masculino","Urbana",0.09,0.52,0.63,13807
"estados","Acre","0 - 5m","Feminino","Rural",-0.32,0.01,0.28,98
"estados","Acre","0 - 5m","Feminino","Urbana",-0.54,0.05,0.51,217
"estados","Alagoas","0 - 5m","Feminino","Rural",-0.46,0.1,0.54,863
"estados","Alagoas","0 - 5m","Feminino","Urbana",-0.42,0.09,0.48,1086
"estados","Amapa","0 - 5m","Feminino","Rural",-0.72,-0.18,0.34,5
"estados","Amapa","0 - 5m","Feminino","Urbana",0.13,0.17,0.15,49
"estados","Amazonas","0 - 5m","Feminino","Rural",-0.45,-0.01,0.36,207
"estados","Amazonas","0 - 5m","Feminino","Urbana",-0.19,0.22,0.47,756
"estados","Bahia","0 - 5m","Feminino","Rural",-0.11,0.01,0.12,3366
"estados","Bahia","0 - 5m","Feminino","Urbana",-0.1,0.07,0.2,4677
"estados","Ceara","0 - 5m","Feminino","Rural",-0.41,0.15,0.55,1405
"estados","Ceara","0 - 5m","Feminino","Urbana",-0.32,0.21,0.55,2188
"estados","Distrito Federal","0 - 5m","Feminino","Rural",-0.32,-0.43,-0.35,64
"estados","Distrito Federal","0 - 5m","Feminino","Urbana",-0.37,-0.26,-0.08,378
"estados","Espirito Santo","0 - 5m","Feminino","Rural",-0.38,-0.1,0.16,875
"estados","Espirito Santo","0 - 5m","Feminino","Urbana",-0.41,-0.13,0.14,1994
"estados","Goias","0 - 5m","Feminino","Rural",-0.57,-0.17,0.25,124
"estados","Goias","0 - 5m","Feminino","Urbana",-0.36,-0.17,0.08,1148
"estados","Maranhao","0 - 5m","Feminino","Rural",-0.34,0.2,0.57,608
"estados","Maranhao","0 - 5m","Feminino","Urbana",-0.27,0.22,0.54,1189
"estados","Mato Grosso","0 - 5m","Feminino","Rural",-0.19,0.08,0.31,98
"estados","Mato Grosso","0 - 5m","Feminino","Urbana",-0.33,-0.13,0.1,734
"estados","Mato Grosso do Sul","0 - 5m","Feminino","Rural",-0.67,-0.13,0.35,179
"estados","Mato Grosso do Sul","0 - 5m","Feminino","Urbana",-0.57,-0.22,0.15,3785
"estados","Minas Gerais","0 - 5m","Feminino","Rural",-0.61,-0.3,0.07,4713
"estados","Minas Gerais","0 - 5m","Feminino","Urbana",-0.7,-0.41,-0.02,16419
"estados","Para","0 - 5m","Feminino","Rural",-0.49,-0.04,0.35,841
"estados","Para","0 - 5m","Feminino","Urbana",-0.31,0.06,0.34,1955
"estados","Paraiba","0 - 5m","Feminino","Rural",-0.49,0.09,0.53,2404
