"tabela","categoria","idade_cat","sexo","med_altura","med_peso","med_imc","n_dist"
"estados","Tocantins","12 - 17m","Masculino",-0.81,0.03,0.71,6317
"estados","Acre","18 - 23m","Feminino",-0.78,0.02,0.69,4400
"estados","Alagoas","18 - 23m","Feminino",-0.43,0.32,0.83,18838
"estados","Amapa","18 - 23m","Feminino",-1.05,-0.02,0.87,1979
"estados","Amazonas","18 - 23m","Feminino",-0.91,-0.07,0.69,20865
"estados","Bahia","18 - 23m","Feminino",-0.32,0.21,0.58,81458
"estados","Ceara","18 - 23m","Feminino",-0.4,0.39,0.9,54359
"estados","Distrito Federal","18 - 23m","Feminino",-0.52,0.05,0.52,2508
"estados","Espirito Santo","18 - 23m","Feminino",-0.18,0.35,0.65,12311
"estados","Goias","18 - 23m","Feminino",-0.37,0.17,0.58,16258
"estados","Maranhao","18 - 23m","Feminino",-0.77,-0.01,0.66,42834
"estados","Mato Grosso","18 - 23m","Feminino",-0.45,0.14,0.59,9515
"estados","Mato Grosso do Sul","18 - 23m","Feminino",-0.48,0.18,0.66,9070
"estados","Minas Gerais","18 - 23m","Feminino",-0.26,0.26,0.59,77223
"estados","Para","18 - 23m","Feminino",-0.86,-0.03,0.7,40100
"estados","Paraiba","18 - 23m","Feminino",-0.26,0.4,0.79,31798
"estados","Parana","18 - 23m","Feminino",-0.27,0.35,0.72,47510
"estados","Pernambuco","18 - 23m","Feminino",-0.32,0.38,0.82,40975
"estados","Piaui","18 - 23m","Feminino",-0.47,0.13,0.6,20639
"estados","Rio Grande do Norte","18 - 23m","Feminino",-0.36,0.34,0.8,16011
"estados","Rio Grande do Sul","18 - 23m","Feminino",-0.42,0.37,0.89,24673
"estados","Rio de Janeiro","18 - 23m","Feminino",-0.48,0.22,0.72,26120
"estados","Rondonia","18 - 23m","Feminino",-0.4,0.17,0.59,4535
"estados","Roraima","18 - 23m","Feminino",-0.81,-0.01,0.68,2203
"estados","Santa Catarina","18 - 23m","Feminino",-0.38,0.26,0.7,10433
"estados","Sao Paulo","18 - 23m","Feminino",-0.45,0.25,0.74,63875
"estados","Sergipe","18 - 23m","Feminino",-0.23,0.45,0.84,12922
"estados","Tocantins","18 - 23m","Feminino",-0.58,0.05,0.58,8580
"estados","Acre","18 - 23m","Masculino",-0.93,-0.06,0.72,4474
"estados","Alagoas","18 - 23m","Masculino",-0.62,0.2,0.83,17868
